city,lat,lng,country,iso2,admin,capital,population,population_proper,id
Buenos Aires,-34.606389,-58.435278,Argentina,AR,"Buenos Aires, Ciudad Autónoma de",primary,12795000,10929146,1
Córdoba,-31.413496,-64.181052,Argentina,AR,Córdoba,admin,1452000,1296935,2
Rosario,-32.946818,-60.639317,Argentina,AR,Santa Fe,minor,1203000,986569,3
Mendoza,-32.890845,-68.827171,Argentina,AR,Mendoza,admin,893000,762630,4
San Miguel de Tucumán,-26.824144,-65.2226,Argentina,AR,Tucumán,admin,830000,527607,5
La Plata,-34.921454,-57.954533,Argentina,AR,Buenos Aires,admin,694253,186524,6
Mar del Plata,-38.002278,-57.557539,Argentina,AR,Buenos Aires,minor,555897,553935,7
Salta,-24.785896,-65.411664,Argentina,AR,Salta,admin,512686,456606,8
Santa Fe,-31.629484,-60.701036,Argentina,AR,Santa Fe,admin,489505,297503,9
San Juan,-31.5375,-68.536389,Argentina,AR,San Juan,admin,447048,420736,10
San Luis,-33.295012,-66.335627,Argentina,AR,San Luis,admin,432310,183982,11
Resistencia,-27.46056,-58.983886,Argentina,AR,Chaco,admin,387158,349753,12
Posadas,-27.367077,-55.896078,Argentina,AR,Misiones,admin,357119,312060,13
Santiago del Estero,-27.795112,-64.261489,Argentina,AR,Santiago del Estero,admin,354692,280407,14
Corrientes,-27.480596,-58.834099,Argentina,AR,Corrientes,admin,340823,339067,15
San Salvador de Jujuy,-24.194565,-65.297116,Argentina,AR,Jujuy,admin,305891,211587,16
Bahía Blanca,-38.719595,-62.272432,Argentina,AR,Buenos Aires,minor,281536,276546,17
Paraná,-31.731967,-60.523802,Argentina,AR,Entre Ríos,admin,262295,191409,18
Neuquén,-38.951606,-68.059102,Argentina,AR,Neuquén,admin,242092,185555,19
Formosa,-26.177534,-58.178139,Argentina,AR,Formosa,admin,221383,183161,20
La Rioja,-29.411048,-66.850668,Argentina,AR,La Rioja,admin,162620,131640,21
Río Cuarto,-33.130671,-64.349918,Argentina,AR,Córdoba,minor,153757,118162,22
Concordia,-31.392959,-58.02089,Argentina,AR,Entre Ríos,minor,145210,120311,23
Comodoro Rivadavia,-45.864135,-67.496558,Argentina,AR,Chubut,minor,140850,105732,24
San Martín,-33.081031,-68.468138,Argentina,AR,Mendoza,minor,117399,82549,25
Santa Rosa,-36.616667,-64.283333,Argentina,AR,La Pampa,admin,111424,83963,26
San Rafael,-34.617717,-68.330066,Argentina,AR,Mendoza,minor,109163,49884,27
Tandil,-37.321674,-59.133164,Argentina,AR,Buenos Aires,minor,104325,65274,28
San Carlos de Bariloche,-41.140293,-71.301369,Argentina,AR,Río Negro,minor,95394,88512,29
Trelew,-43.250075,-65.313295,Argentina,AR,Chubut,,93442,92815,30
Villa María,-32.407514,-63.240161,Argentina,AR,Córdoba,minor,92453,60949,31
Reconquista,-29.15,-59.65,Argentina,AR,Santa Fe,minor,90184,83097,32
Zárate,-34.098142,-59.028585,Argentina,AR,Buenos Aires,minor,88781,83603,33
Rafaela,-31.250332,-61.486696,Argentina,AR,Santa Fe,minor,88713,50585,34
Pergamino,-33.889949,-60.573568,Argentina,AR,Buenos Aires,minor,87652,55244,35
Olavarría,-36.892715,-60.32254,Argentina,AR,Buenos Aires,minor,86320,43798,36
Río Gallegos,-51.622613,-69.218127,Argentina,AR,Santa Cruz,admin,85700,68666,37
Junín,-34.583816,-60.943318,Argentina,AR,Buenos Aires,minor,85007,47276,38
Presidencia Roque Sáenz Peña,-26.785221,-60.438761,Argentina,AR,Chaco,minor,81879,70037,39
Luján,-34.570278,-59.105,Argentina,AR,Buenos Aires,minor,81749,57740,40
Campana,-34.168742,-58.95914,Argentina,AR,Buenos Aires,minor,81612,72687,41
Necochea,-38.547259,-58.736753,Argentina,AR,Buenos Aires,minor,80478,60646,42
Gualeguaychú,-33.009375,-58.51722,Argentina,AR,Entre Ríos,minor,78676,33045,43
San Ramón de la Nueva Orán,-23.13398,-64.324645,Argentina,AR,Salta,minor,74059,64864,44
General Roca,-39.033333,-67.583333,Argentina,AR,Río Negro,,73212,3944,45
Venado Tuerto,-33.745564,-61.968845,Argentina,AR,Santa Fe,,72340,31818,46
Goya,-29.14003,-59.262564,Argentina,AR,Corrientes,minor,72304,70245,47
Villa Carlos Paz,-31.424138,-64.497778,Argentina,AR,Córdoba,,69451,51061,48
Concepción del Uruguay,-32.482493,-58.237217,Argentina,AR,Entre Ríos,minor,67895,28655,49
Las Heras,-32.85273,-68.828373,Argentina,AR,Mendoza,minor,66663,66663,50
Puerto Madryn,-42.769201,-65.038513,Argentina,AR,Chubut,minor,64555,57763,51
Tartagal,-22.516365,-63.801314,Argentina,AR,Salta,minor,60819,59174,52
Viedma,-40.813452,-62.996676,Argentina,AR,Río Negro,admin,59122,48940,53
San Francisco,-31.427971,-62.082656,Argentina,AR,Córdoba,minor,59062,27400,54
San Pedro,-24.231266,-64.866141,Argentina,AR,Jujuy,minor,58430,52068,55
Ushuaia,-54.8,-68.3,Argentina,AR,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",admin,58028,42939,56
Punta Alta,-38.875875,-62.073589,Argentina,AR,Buenos Aires,minor,57209,54730,57
General Pico,-35.656622,-63.756815,Argentina,AR,La Pampa,minor,57029,35937,58
Chivilcoy,-34.895661,-60.016667,Argentina,AR,Buenos Aires,minor,54514,32924,59
Azul,-36.776976,-59.858539,Argentina,AR,Buenos Aires,minor,53941,32874,60
Río Tercero,-32.173008,-64.114055,Argentina,AR,Córdoba,,53389,22710,61
Mercedes,-34.651455,-59.430676,Argentina,AR,Buenos Aires,minor,52949,43868,62
Villa Mercedes,-33.674359,-65.461405,Argentina,AR,San Luis,minor,49345,49345,63
Libertador General San Martín,-23.806443,-64.787574,Argentina,AR,Jujuy,minor,49267,45851,64
Cutral-Có,-38.946875,-69.208886,Argentina,AR,Neuquén,,47814,47380,65
San Lorenzo,-28.133061,-58.767331,Argentina,AR,Corrientes,,47626,4041,66
Tres Arroyos,-38.373939,-60.279781,Argentina,AR,Buenos Aires,minor,47136,22411,67
Empalme Villa Constitución,-33.260375,-60.379394,Argentina,AR,Santa Fe,,44271,16294,68
Alta Gracia,-31.652925,-64.428259,Argentina,AR,Córdoba,minor,40384,20802,69
Bell Ville,-32.625906,-62.68873,Argentina,AR,Córdoba,minor,35105,24105,70
Nueve de Julio,-35.444374,-60.883131,Argentina,AR,Buenos Aires,minor,34718,18714,71
Chacabuco,-34.641667,-60.473889,Argentina,AR,Buenos Aires,minor,34587,18703,72
Gualeguay,-33.141559,-59.309657,Argentina,AR,Entre Ríos,minor,33120,18706,73
Río Grande,-53.787686,-67.709455,Argentina,AR,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",minor,31095,31095,74
Mercedes,-29.181858,-58.078951,Argentina,AR,Corrientes,minor,30649,15096,75
Villa Ángela,-27.573828,-60.715264,Argentina,AR,Chaco,minor,30051,30051,76
Coronel Suárez,-37.454671,-61.933429,Argentina,AR,Buenos Aires,minor,27000,14426,77
Rawson,-43.300158,-65.10228,Argentina,AR,Chubut,admin,26335,23790,78
Dolores,-36.313215,-57.679185,Argentina,AR,Buenos Aires,minor,25190,17983,79
Victoria,-32.619888,-60.153907,Argentina,AR,Entre Ríos,minor,25139,14926,80
Lincoln,-34.866494,-61.530197,Argentina,AR,Buenos Aires,minor,24798,15050,81
Veinticinco de Mayo,-35.432303,-60.172707,Argentina,AR,Buenos Aires,minor,24668,12830,82
Tunuyán,-33.576526,-69.015377,Argentina,AR,Mendoza,minor,22834,22834,83
Chascomús,-35.572973,-58.008094,Argentina,AR,Buenos Aires,minor,21054,21054,84
Chilecito,-29.161951,-67.497397,Argentina,AR,La Rioja,minor,20343,20343,85
Esquel,-42.911466,-71.319473,Argentina,AR,"Buenos Aires, Ciudad Autónoma de",minor,20048,20048,86
General Martín Miguel de Güemes,-24.67034,-65.047648,Argentina,AR,Salta,minor,19828,19828,87
Zapala,-38.899164,-70.054423,Argentina,AR,Neuquén,minor,19152,19152,88
Balcarce,-37.846165,-58.255222,Argentina,AR,Buenos Aires,minor,18967,18967,89
Charata,-27.214378,-61.187953,Argentina,AR,Chaco,minor,18297,18297,90
Lobos,-35.182859,-59.089749,Argentina,AR,Buenos Aires,minor,18278,18278,91
Añatuya,-28.460636,-62.834724,Argentina,AR,Santiago del Estero,minor,14133,14133,92
Mar de Ajó,-36.724274,-56.677093,Argentina,AR,Buenos Aires,,13610,13610,93
Frías,-28.635929,-65.131017,Argentina,AR,Santiago del Estero,minor,13594,13594,94
Joaquín V. González,-25.083333,-64.183333,Argentina,AR,Salta,minor,13376,13376,95
Sunchales,-30.94404,-61.56148,Argentina,AR,Santa Fe,,12655,12655,96
Malargüe,-35.475455,-69.584267,Argentina,AR,Mendoza,minor,11847,11847,97
Cafayate,-26.070411,-65.979296,Argentina,AR,Salta,minor,11785,7171,98
Río Colorado,-38.993975,-64.092948,Argentina,AR,Río Negro,minor,11499,11499,99
Cerrillos,-24.898326,-65.487057,Argentina,AR,Salta,minor,11498,11498,100
Monte Quemado,-25.805646,-62.830191,Argentina,AR,Santiago del Estero,minor,11387,11387,101
Humahuaca,-23.205441,-65.350483,Argentina,AR,Jujuy,minor,11369,11369,102
Belén,-27.651034,-67.028695,Argentina,AR,Catamarca,minor,11359,11359,103
Benito Juárez,-37.683333,-59.8,Argentina,AR,Buenos Aires,,10609,10609,104
Choele Choel,-39.266667,-65.683333,Argentina,AR,Río Negro,minor,10000,9791,105
Vera,-29.459296,-60.212612,Argentina,AR,Santa Fe,minor,9979,9979,106
San Justo,-30.789132,-60.59189,Argentina,AR,Santa Fe,minor,9607,9607,107
Castelli,-25.946788,-60.619466,Argentina,AR,Chaco,minor,9421,9421,108
Chamical,-30.360016,-66.313989,Argentina,AR,La Rioja,minor,8989,8989,109
Chos Malal,-37.378087,-70.270848,Argentina,AR,Neuquén,minor,8556,8556,110
San Antonio Oeste,-40.731934,-64.947691,Argentina,AR,Río Negro,minor,8492,8492,111
El Calafate,-50.336979,-72.265135,Argentina,AR,Santa Cruz,minor,8000,4658,112
Las Lomitas,-24.709548,-60.59303,Argentina,AR,Formosa,,7683,7683,113
Carhué,-37.176681,-62.757924,Argentina,AR,Buenos Aires,minor,7190,7190,114
Pedro Luro,-39.502536,-62.68169,Argentina,AR,Buenos Aires,,7100,7100,115
Rinconada,-22.440829,-66.167793,Argentina,AR,Jujuy,minor,6692,5727,116
Ingeniero Guillermo N. Juárez,-23.9,-61.85,Argentina,AR,Formosa,minor,6453,6453,117
Chepes,-31.35,-66.6,Argentina,AR,La Rioja,minor,6020,6020,118
Ingeniero Jacobacci,-41.342687,-69.544787,Argentina,AR,Río Negro,,5719,5719,119
Veintiocho de Noviembre,-51.65,-72.3,Argentina,AR,Santa Cruz,,5300,5300,120
Sarmiento,-45.588148,-69.069957,Argentina,AR,Chubut,minor,5185,5185,121
Abra Pampa,-22.720487,-65.696971,Argentina,AR,Jujuy,minor,4480,4480,122
Victorica,-36.215049,-65.435859,Argentina,AR,La Pampa,minor,4458,4458,123
La Paz,-33.460909,-67.549559,Argentina,AR,Mendoza,minor,4400,4400,124
Comandante Fontana,-25.334529,-59.682117,Argentina,AR,Formosa,minor,4277,4277,125
El Maitén,-42.049236,-71.166927,Argentina,AR,"Buenos Aires, Ciudad Autónoma de",,4269,4269,126
San Antonio de los Cobres,-24.21804,-66.318774,Argentina,AR,Salta,minor,4000,4000,127
Perito Moreno,-46.589945,-70.929747,Argentina,AR,Santa Cruz,minor,3766,3766,128
Darregueira,-37.688923,-63.160762,Argentina,AR,Buenos Aires,,3412,3412,129
Puerto Deseado,-47.750336,-65.893817,Argentina,AR,Santa Cruz,minor,3305,3305,130
General Conesa,-40.1,-64.433333,Argentina,AR,Río Negro,minor,2958,2958,131
Pampa del Infierno,-26.505168,-61.174356,Argentina,AR,Chaco,minor,2921,2921,132
Villalonga,-39.916141,-62.617821,Argentina,AR,Buenos Aires,,2838,2838,133
Chumbicha,-28.854296,-66.235,Argentina,AR,Catamarca,minor,2572,2572,134
Gobernador Gregores,-48.750574,-70.24741,Argentina,AR,Santa Cruz,minor,2519,2519,135
Uspallata,-32.591695,-69.348722,Argentina,AR,Mendoza,,2390,2390,136
San Julián,-49.305541,-67.727432,Argentina,AR,Santa Cruz,minor,2347,2347,137
Río Mayo,-45.685734,-70.257974,Argentina,AR,Chubut,,1825,1825,138
Trancas,-26.231354,-65.280254,Argentina,AR,Tucumán,minor,1599,1599,139
Alto Río Senguer,-45.041049,-70.819818,Argentina,AR,Chubut,minor,1548,1548,140
Sierra Colorada,-40.584869,-67.756745,Argentina,AR,Río Negro,minor,1522,1522,141
Villa Rumipal,-32.187902,-64.480268,Argentina,AR,Córdoba,,1269,1269,142
Las Lajas,-38.523215,-70.367445,Argentina,AR,Neuquén,minor,1218,1218,143
Los Blancos,-23.6,-62.6,Argentina,AR,Salta,,1145,1145,144
Susques,-23.398641,-66.367012,Argentina,AR,Jujuy,minor,1093,1093,145
Comallo,-41.029932,-70.267836,Argentina,AR,Río Negro,,741,741,146
Rodeo,-30.211864,-69.13661,Argentina,AR,San Juan,minor,701,701,147
Tinogasta,-28.063191,-67.56488,Argentina,AR,Catamarca,minor,587,587,148
Gastre,-42.275136,-69.219669,Argentina,AR,Chubut,minor,557,557,149
Telsen,-42.435534,-66.940775,Argentina,AR,Chubut,minor,500,486,150
Comandante Luis Piedra Buena,-49.985133,-68.914673,Argentina,AR,Santa Cruz,,410,410,151
El Alto,-28.311234,-65.363974,Argentina,AR,Catamarca,minor,,,152
San Isidro,-34.472103,-58.527084,Argentina,AR,Buenos Aires,minor,,,153
Santa Catalina,-21.944671,-66.052194,Argentina,AR,Jujuy,minor,,,154
La Merced,-28.15195,-65.66029,Argentina,AR,Catamarca,minor,,,155
Trenel,-35.698369,-64.132177,Argentina,AR,La Pampa,minor,,,156
Trenque Lauquen,-35.970347,-62.734318,Argentina,AR,Buenos Aires,minor,,,157
Tornquist,-38.101221,-62.222672,Argentina,AR,Buenos Aires,minor,,,158
La Cocha,-27.777288,-65.570352,Argentina,AR,Tucumán,minor,,,159
Godoy Cruz,-32.928635,-68.835099,Argentina,AR,Mendoza,minor,,,160
Sastre,-31.76762,-61.828865,Argentina,AR,Santa Fe,minor,,,161
Oliva,-32.041578,-63.569782,Argentina,AR,Córdoba,minor,,,162
Ramallo,-33.484819,-60.007068,Argentina,AR,Buenos Aires,minor,,,163
Tupungato,-33.371459,-69.148446,Argentina,AR,Mendoza,minor,,,164
Yerba Buena,-26.816667,-65.316667,Argentina,AR,Tucumán,minor,,,165
La Caldera,-24.601586,-65.380982,Argentina,AR,Salta,minor,,,166
San Carlos,-31.177611,-65.102452,Argentina,AR,Córdoba,minor,,,167
San Carlos,-25.886182,-65.929408,Argentina,AR,Salta,minor,,,168
Capitán Sarmiento,-34.172385,-59.790483,Argentina,AR,Buenos Aires,minor,,,169
Garza,-28.153213,-63.539347,Argentina,AR,Santiago del Estero,minor,,,170
Metán,-25.499048,-64.973878,Argentina,AR,Salta,minor,,,171
Algarrobo del Águila,-36.399681,-67.14511,Argentina,AR,La Pampa,minor,,,172
Nogoyá,-32.393867,-59.789531,Argentina,AR,Entre Ríos,minor,,,173
Miramar,-38.268756,-57.836692,Argentina,AR,Buenos Aires,minor,,,174
Andalgalá,-27.581952,-66.316456,Argentina,AR,Catamarca,minor,,,175
Andacollo,-37.179452,-70.669125,Argentina,AR,Neuquén,minor,,,176
Olivos,-34.507469,-58.487025,Argentina,AR,Buenos Aires,minor,,,177
Lanús,-34.702524,-58.395497,Argentina,AR,Buenos Aires,minor,,,178
Puerto Rico,-26.795983,-55.024024,Argentina,AR,Misiones,minor,,,179
Monte Caseros,-30.253592,-57.636261,Argentina,AR,Corrientes,minor,,,180
Brea Pozo,-28.243821,-63.950907,Argentina,AR,Santiago del Estero,minor,,,181
Alba Posse,-27.569779,-54.682621,Argentina,AR,Misiones,minor,,,182
Rojas,-34.195278,-60.735,Argentina,AR,Buenos Aires,minor,,,183
Rosario del Tala,-32.302859,-59.14545,Argentina,AR,Entre Ríos,minor,,,184
Lomas de Zamora,-34.76088,-58.406319,Argentina,AR,Buenos Aires,minor,,,185
Fernández,-27.920375,-63.893493,Argentina,AR,Santiago del Estero,minor,,,186
General Belgrano,-35.76952,-58.493413,Argentina,AR,Buenos Aires,minor,,,187
Aguilares,-27.433802,-65.614272,Argentina,AR,Tucumán,minor,,,188
Bañado de Ovanta,-28.105641,-65.318835,Argentina,AR,Catamarca,minor,,,189
Villa del Rosario,-31.556603,-63.534516,Argentina,AR,Córdoba,minor,,,190
Villa del Salvador,-31.441547,-68.397452,Argentina,AR,San Juan,minor,,,191
Villa del Totoral,-30.816667,-63.716667,Argentina,AR,Córdoba,minor,,,192
Luján de Cuyo,-33.035471,-68.877823,Argentina,AR,Mendoza,minor,,,193
San Isidro de Lules,-26.927696,-65.338689,Argentina,AR,Tucumán,minor,,,194
Palpalá,-24.256475,-65.211628,Argentina,AR,Jujuy,minor,,,195
Winifreda,-36.226432,-64.23388,Argentina,AR,La Pampa,minor,,,196
Puerto Tirol,-27.372182,-59.082063,Argentina,AR,Chaco,minor,,,197
Guachipas,-25.52031,-65.50937,Argentina,AR,Salta,minor,,,198
Casilda,-33.044167,-61.168056,Argentina,AR,Santa Fe,minor,,,199
Cruz del Eje,-30.726445,-64.80387,Argentina,AR,Córdoba,minor,,,200
Villa Gesell,-37.269478,-56.984542,Argentina,AR,Buenos Aires,minor,,,201
Villa General Roca,-32.665347,-66.45052,Argentina,AR,San Luis,minor,,,202
Corzuela,-26.953743,-60.969276,Argentina,AR,Chaco,minor,,,203
Cosquín,-31.245077,-64.465633,Argentina,AR,Córdoba,minor,,,204
La Candelaria,-26.127084,-65.0496,Argentina,AR,Salta,minor,,,205
Pellegrini,-36.265838,-63.165497,Argentina,AR,Buenos Aires,minor,,,206
Rivadavia,-33.190509,-68.46081,Argentina,AR,Mendoza,minor,,,207
Pilar,-34.458662,-58.914197,Argentina,AR,Buenos Aires,minor,,,208
Marcos Juárez,-32.697799,-62.106715,Argentina,AR,Córdoba,minor,,,209
Marcos Paz,-34.780632,-58.837897,Argentina,AR,Buenos Aires,minor,,,210
Villa Santa Rosa,-31.744345,-68.314111,Argentina,AR,San Juan,minor,,,211
Villa Unión,-29.315946,-68.22658,Argentina,AR,La Rioja,minor,,,212
San Agustín de Valle Fértil,-30.633532,-67.468212,Argentina,AR,San Juan,minor,,,213
Laguna Yema,-24.253906,-61.244655,Argentina,AR,Formosa,minor,,,214
Melincué,-33.658471,-61.454585,Argentina,AR,Santa Fe,minor,,,215
La Cañada,-27.708256,-63.77366,Argentina,AR,Santiago del Estero,minor,,,216
Iruya,-22.766667,-65.233333,Argentina,AR,Salta,minor,,,217
Pigüé,-37.605087,-62.403334,Argentina,AR,Buenos Aires,minor,,,218
Buena Esperanza,-34.756474,-65.253795,Argentina,AR,San Luis,minor,,,219
Quitilipi,-26.869127,-60.216832,Argentina,AR,Chaco,minor,,,220
Cañada de Gómez,-32.816358,-61.39493,Argentina,AR,Santa Fe,minor,,,221
Realicó,-35.036583,-64.244697,Argentina,AR,La Pampa,minor,,,222
Villa Constitución,-33.227778,-60.329699,Argentina,AR,Santa Fe,minor,,,223
San Cosme,-27.371231,-58.512136,Argentina,AR,Corrientes,minor,,,224
Presidencia de la Plaza,-27.001472,-59.842427,Argentina,AR,Chaco,minor,,,225
Baradero,-33.811049,-59.508067,Argentina,AR,Buenos Aires,minor,,,226
San Martín,-31.429572,-68.500645,Argentina,AR,San Juan,minor,,,227
Las Flores,-36.014027,-59.099844,Argentina,AR,Buenos Aires,minor,,,228
General San Martín,-34.574238,-58.534959,Argentina,AR,Buenos Aires,minor,,,229
Berazategui,-34.755684,-58.198594,Argentina,AR,Buenos Aires,minor,,,230
Apóstoles,-27.914208,-55.75355,Argentina,AR,Misiones,minor,,,231
Itatí,-27.270434,-58.244576,Argentina,AR,Corrientes,minor,,,232
General Enrique Mosconi,-23.216667,-62.3,Argentina,AR,Formosa,minor,,,233
Jesús María,-30.981528,-64.094239,Argentina,AR,Córdoba,minor,,,234
San Antonio,-28.93313,-65.097449,Argentina,AR,Catamarca,minor,,,235
Monte Hermoso,-38.916667,-61.55,Argentina,AR,Buenos Aires,minor,,,236
Sañogasta,-29.095202,-67.115858,Argentina,AR,La Rioja,minor,,,237
Hermoso Campo,-27.608156,-61.344409,Argentina,AR,Chaco,minor,,,238
Famaillá,-27.054134,-65.403286,Argentina,AR,Tucumán,minor,,,239
Famatina,-28.923219,-67.522534,Argentina,AR,La Rioja,minor,,,240
Selva,-29.767757,-62.047699,Argentina,AR,Santiago del Estero,minor,,,241
Chimbas,-31.483333,-68.533333,Argentina,AR,San Juan,minor,,,242
San Justo,-34.676597,-58.56058,Argentina,AR,Buenos Aires,minor,,,243
Villa San Isidro,-31.486799,-68.325427,Argentina,AR,San Juan,minor,,,244
General Las Heras,-34.927264,-58.946213,Argentina,AR,Buenos Aires,minor,,,245
General José de San Martín,-26.537434,-59.341584,Argentina,AR,Chaco,minor,,,246
General Juan Madariaga,-36.99725,-57.139506,Argentina,AR,Buenos Aires,minor,,,247
General La Madrid,-37.247555,-61.26273,Argentina,AR,Buenos Aires,minor,,,248
Las Plumas,-43.72058,-67.283192,Argentina,AR,Chubut,minor,,,249
Herrera,-28.480936,-63.067791,Argentina,AR,Santiago del Estero,minor,,,250
Quimilí,-27.633333,-62.416667,Argentina,AR,Santiago del Estero,minor,,,251
Berón de Astrada,-27.550675,-57.534605,Argentina,AR,Corrientes,minor,,,252
Bernasconi,-37.904589,-63.742405,Argentina,AR,La Pampa,minor,,,253
El Soberbio,-27.298465,-54.198772,Argentina,AR,Misiones,minor,,,254
